Opponent,Win/Lose/Tie,Home/Away,
Chester,1,Aw,"Win - 1, Lose - 0, Draw - 2"
Tranmere,1,Aw,
Bury,2,Aw,
Rovers,1,Aw,
Dortmund,0,Aw,
Manchester City,1,Aw,
Manchester United,1,Aw,
Napoli,1,Aw,
Torino,1,Ho,
West Ham United,1,Aw,
Crystal Palace,1,Ho,
Brighton & Hove Albion,1,Aw,
Leicester City,1,Ho,
Tottenham Hotspur,1,Aw,
Paris Saint-Germain,1,Ho,
Southampton,1,Ho,
Chelsea,0,Ho,
Chelsea,2,Aw,
Napoli,0,Aw,
Manchester City,2,Ho,
Huddersfield Town,1,Aw,
Red Star Belgrade,1,Ho,
Cardiff City,1,Ho,
Arsenal,2,Aw,
Red Star Belgrade,0,Aw,
Fulham,1,Ho,
Watford,1,Aw,
Paris Saint-Germain,0,Aw,
Everton,1,Ho,
Burnley,1,Aw,
AFC Bournemouth,1,Aw,
Napoli,1,Ho,
Manchester United,1,Aw,
Wolverhampton Wanderers,1,Aw,
Newcastle United,1,Ho,
Arsenal,1,Ho,
Manchester City,0,Aw,
Wolverhampton Wanderers,0,Aw,
Brighton & Hove Albion,1,Aw,
Crystal Palace,1,Ho,
Leicester City,2,Ho,
West Ham United,2,Aw,
AFC Bournemouth,1,Ho,
Bayern Munich,2,Ho,
Manchester United,2,Aw,
Watford,1,Ho,
Everton,2,Aw,
Burnley,1,Ho,
Bayern Munich,1,Aw,
Fulham,1,Aw,
Tottenham Hotspur,1,Ho,
Southampton,1,Aw,
Porto,1,Ho,
Chelsea,1,Ho,
Porto,1,Aw,
Cardiff City,1,Aw,
Huddersfield Town,1,Ho,
Barcelona,0,Aw,
Newcastle United,1,Aw,
Barcelona,1,Ho,
