Opponents,Win/Lose,Home/Away,
Roma,1,Aw," Win-1, Lose-0, Tie-2"
Barcelona,0,Aw,
Ac Milan,1,Ho,
Girona,0,Aw,
Newcastle United,1,Aw,
Fulham,1,Ho,
Manchester United,1,Aw,
Watford,0,Aw,
Liverpool,0,Ho,
Internazionale,0,Aw,
Brighton and Hove Albion,1,Aw,
Watford,2,Ho,
Huddersfield Town,1,Aw,
FC Barcelona,0,Ho,
Cardiff City,1,Ho,
West Ham United,1,Aw,
PSV Eindhoven,2,Aw,
Manchester City,0,Ho,
Wolverhampton Wanderers,1,Aw,
PSV Eindhoven,1,Ho,
Crystal Palace,1,Aw,
Chelsea,1,Ho,
Inter Milan,1,Ho,
Arsenal,0,Aw,
Southampton,1,Ho,
Leicester City,1,Aw,
FC Barcelona,2,Aw,
Burnley,1,Ho,
Arsenal,1,Aw,
Everton,1,Aw,
Bournemouth,1,Ho,
Wolves,1,Ho,
Cardiff City,1,Aw,
Tranmere Rovers,1,Aw,
Chelsea,1,Ho,
Manchester United,0,Aw,
Fulham,1,Aw,
Chelsea,0,Aw,
Crystal Palace,0,Aw,
Watford,1,Ho,
Newcastle United,1,Ho,
Leicester City,1,Ho,
Borussia Dortmund,1,Ho,
Burnley,0,Aw,
Chelsea,0,Aw,
Arsenal,2,Ho,
Borussia Dortmund,1,Aw,
Southampton,0,Aw,
Liverpool,0,Aw,
Crystal Palace,1,Ho,
Manchester City,0,Ho,
Huddersfield Town,1,Ho,
Manchester City,1,Ho,
Manchester City,0,Aw,
Brighton and Hove Albion,1,Ho,
West Ham United,0,Ho,
Ajax,0,Ho,
Bournemouth,0,Aw,
Ajax,1,Aw,
